seine_id,survey_id,set_number,set_type,time_searching,set_time,lat,lon,so_taken,so_total,pi_taken,pi_total,cu_taken,cu_total,co_taken,co_total,he_taken,he_total,ck_taken,ck_total,preservation_status,collection_protocol,fish_retained,seine_comments,survey_date,site_id,region,zone,site_name,crew,precip,cloud_cover,sea_state,wind_speed,wind_direction,tide_state,survey_time_start,survey_time_end,ctd_cast_id,zoop_sample_id,secchi,net_sets,survey_type,survey_comments,sampling_week
DN250,DE150,3,targeted,35,09:32:00,50.34762,-125.45358,30,100,1,1,10,200,1,1,1,1,NA,NA,1,SEMSP,Yes,NA,2015-06-01,D11,DI,NA,Turn Island,"Carolyn Knapper, Brett Johnson, Luke Rogers",none,75,2,0.1-5,W,NA,NA,NA,NA,QPK1032,12.6,3,standard,NA,June 2
DN251,DE151,1,targeted,5,12:53:00,50.30492,-125.33058,30,500,0,0,10,100,0,0,3,4,NA,NA,1,SEMSP,Yes,NA,2015-06-01,D09,DI,C,Okisollo Channel,"Carolyn Knapper, Brett Johnson, Luke Rogers",light,100,0,0,NA,NA,NA,NA,NA,QPK1033,12.5,1,standard,NA,June 2
DN252,DE152,3,targeted,56,06:42:00,50.44217,-125.27406,30,500,1,1,10,300,0,0,1,2,NA,NA,1,SEMSP,Yes,NA,2015-06-03,D10,DI,W,Hall Point,"Kristi Inman, Luke Rogers, Carolyn Knapper, Dylan Smyth",none,100,0,0,NA,NA,NA,NA,NA,QPK1034,12.3,3,standard,NA,June 2
DN253,DE153,2,targeted,19,10:21:00,50.34851,-125.44831,12,15,0,0,10,300,1,1,0,0,NA,NA,1,SEMSP,Yes,NA,2015-06-03,D11,DI,NA,Turn Island,"Kristi Inman, Luke Rogers, Carolyn Knapper, Dylan Smyth",none,100,1,0.1-5,W,NA,NA,NA,NA,QPK1035,12.2,2,standard,Salmon Farms: North Nodales nets being delivered.,June 2
DN254,DE154,1,targeted,20,13:11:00,50.30759,-125.32969,30,40,1,1,10,40,0,0,7,7,NA,NA,1,SEMSP,Yes,NA,2015-06-03,D09,DI,C,Okisollo Channel,"Kristi Inman, Luke Rogers, Carolyn Knapper, Dylan Smyth",none,25,2,10-15,W,NA,NA,NA,NA,QPK1036,9.9,1,standard,Salmon Farms: Brent Island 12 pens stocked; Venture Point 12 pens stocked; Okisolo Channel nets in bags on walkways; Barnes Bay NA.,June 2
DN255,DE155,1,targeted,13,06:23:00,50.31954,-125.04247,29,60,0,0,2,2,0,0,0,0,NA,NA,1,SEMSP,Yes,NA,2015-06-04,D08,DI,W,Calm Channel,"Carolyn Knapper, Brett Johnson, Luke Rogers, Dylan Smyth",none,0,1,0,NA,NA,NA,NA,NA,QPK1037,11.5,1,standard,Salmon Farms: Raza Island 10 pens stocked. Sockeye miscount: new convention two independent counts of fish taken prior to net release.,June 2
DN256,DE156,NA,NA,16,09:28:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No,NA,2015-06-04,D05,DI,E,Lewis Channel,"Carolyn Knapper, Brett Johnson, Luke Rogers, Dylan Smyth",none,0,1,0.1-5,NW,NA,NA,NA,NA,NA,NA,0,standard,NA,June 2
DN257,DE157,NA,NA,12,10:11:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No,NA,2015-06-04,D02,DI,E,Kinghorn Island,"Luke Rogers, Carolyn Knapper, Brett Johnson, Dylan Smyth",none,0,1,0.1-5,NW,NA,NA,NA,NA,NA,NA,0,standard,NA,June 2
DN258,DE158,2,targeted,27,11:32:00,50.07966,-125.24845,15,40,4,20,3,20,0,0,0,0,NA,NA,1,SEMSP,Yes,NA,2015-06-04,D06,DI,W,Gowlland Harbour,"Luke Rogers, Carolyn Knapper, Brett Johnson, Dylan Smyth",none,0,0,0,NA,NA,NA,NA,NA,QPK1038,10.8,2,standard,"Sighted outside of sets: 10,000 herring 30-40 mm length.",June 2
DN259,DE159,NA,NA,20,14:20:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No,NA,2015-06-04,D12,DI,C,Hyacinthe Bay,"Carolyn Knapper, Brett Johnson, Luke Rogers, Dylan Smyth",none,0,1,0.1-5,SE,NA,NA,NA,NA,NA,NA,0,standard,NA,June 2
