ufn,sample_type,sample_id,container_id,container_cell,sample_location,comments_sample,sample_status,storage_medium,qc_flag,flag_reason,qc_log,ufn_sort
U124,scale,BSC3-43,BSC3,43,BSC3-43,NA,collected,Dry,N,NA,NA,124
U125,scale,BSC4-7,BSC4,7,BSC4-7,NA,collected,Dry,N,NA,NA,125
U126,scale,BSC4-40,BSC4,40,BSC4-40,NA,collected,Dry,N,NA,NA,126
U127,scale,BSC5-14,BSC5,14,BSC5-14,NA,collected,Dry,N,NA,NA,127
U128,scale,BSC11-1,BSC11,1,BSC11-1,NA,collected,Dry,N,NA,NA,128
U129,scale,BSC11-11,BSC11,11,BSC11-11,NA,collected,Dry,N,NA,NA,129
U130,scale,BSC5-28,BSC5,28,BSC5-28,NA,collected,Dry,N,NA,NA,130
U131,scale,BSC1-22,BSC1,22,BSC1-22,NA,collected,Dry,N,NA,NA,131
U132,scale,BSC42-8,BSC42,8,BSC42-8,NA,collected,Dry,N,NA,NA,132
U133,scale,BSC4-13,BSC4,13,BSC4-13,NA,collected,Dry,N,NA,NA,133
U134,scale,BSC4-15,BSC4,15,BSC4-15,NA,collected,Dry,N,NA,NA,134
U135,scale,BSC4-18,BSC4,18,BSC4-18,NA,collected,Dry,N,NA,NA,135
U136,scale,BSC4-19,BSC4,19,BSC4-19,NA,collected,Dry,N,NA,NA,136
U137,scale,BSC4-21,BSC4,21,BSC4-21,NA,collected,Dry,N,NA,NA,137
U138,scale,BSC4-23,BSC4,23,BSC4-23,NA,collected,Dry,N,NA,NA,138
U139,scale,BSC4-24,BSC4,24,BSC4-24,NA,collected,Dry,N,NA,NA,139
U140,scale,BSC4-28,BSC4,28,BSC4-28,NA,collected,Dry,N,NA,NA,140
U141,scale,BSC3-48,BSC3,48,BSC3-48,NA,collected,Dry,N,NA,NA,141
U142,scale,BSC3-49,BSC3,49,BSC3-49,NA,collected,Dry,N,NA,NA,142
U143,scale,BSC4-1,BSC4,1,BSC4-1,NA,collected,Dry,N,NA,NA,143
U144,scale,BSC4-4,BSC4,4,BSC4-4,NA,collected,Dry,N,NA,NA,144
U145,scale,BSC4-5,BSC4,5,BSC4-5,NA,collected,Dry,N,NA,NA,145
U146,scale,BSC4-8,BSC4,8,BSC4-8,NA,collected,Dry,N,NA,NA,146
U147,scale,BSC42-4,BSC42,4,BSC42-4,NA,collected,Dry,N,NA,NA,147
U148,scale,BSC42-5,BSC42,5,BSC42-5,NA,collected,Dry,N,NA,NA,148
U149,scale,BSC42-6,BSC42,6,BSC42-6,NA,collected,Dry,N,NA,NA,149
U150,scale,BSC42-9,BSC42,9,BSC42-9,NA,collected,Dry,N,NA,NA,150
U151,scale,BSC3-50,BSC3,50,BSC3-50,NA,collected,Dry,N,NA,NA,151
U152,scale,BSC4-2,BSC4,2,BSC4-2,NA,collected,Dry,N,NA,NA,152
U153,scale,BSC4-3,BSC4,3,BSC4-3,NA,collected,Dry,N,NA,NA,153
U154,scale,BSC4-6,BSC4,6,BSC4-6,NA,collected,Dry,N,NA,NA,154
U155,scale,BSC4-9,BSC4,9,BSC4-9,NA,collected,Dry,N,NA,NA,155
U156,scale,BSC4-11,BSC4,11,BSC4-11,NA,collected,Dry,N,NA,NA,156
U157,scale,BSC42-7,BSC42,7,BSC42-7,NA,collected,Dry,N,NA,NA,157
U158,scale,BSC4-12,BSC4,12,BSC4-12,NA,collected,Dry,N,NA,NA,158
U159,scale,BSC4-16,BSC4,16,BSC4-16,NA,collected,Dry,N,NA,NA,159
U160,scale,BSC4-17,BSC4,17,BSC4-17,NA,collected,Dry,N,NA,NA,160
U161,scale,BSC4-14,BSC4,14,BSC4-14,NA,collected,Dry,N,NA,NA,161
U162,scale,BSC4-22,BSC4,22,BSC4-22,NA,collected,Dry,N,NA,NA,162
U163,scale,BSC4-26,BSC4,26,BSC4-26,NA,collected,Dry,N,NA,NA,163
U164,scale,BSC4-27,BSC4,27,BSC4-27,NA,collected,Dry,N,NA,NA,164
U165,scale,BSC4-32,BSC4,32,BSC4-32,NA,collected,Dry,N,NA,NA,165
U166,scale,BSC4-34,BSC4,34,BSC4-34,NA,collected,Dry,N,NA,NA,166
U167,scale,BSC4-39,BSC4,39,BSC4-39,NA,collected,Dry,N,NA,NA,167
U168,scale,BSC4-43,BSC4,43,BSC4-43,NA,collected,Dry,N,NA,NA,168
U169,scale,BSC4-46,BSC4,46,BSC4-46,NA,collected,Dry,N,NA,NA,169
U170,scale,BSC4-49,BSC4,49,BSC4-49,NA,collected,Dry,N,NA,NA,170
U171,scale,BSC4-20,BSC4,20,BSC4-20,NA,collected,Dry,N,NA,NA,171
U172,scale,BSC4-25,BSC4,25,BSC4-25,NA,collected,Dry,N,NA,NA,172
U174,scale,BSC4-33,BSC4,33,BSC4-33,NA,collected,Dry,N,NA,NA,174
U175,scale,BSC4-38,BSC4,38,BSC4-38,NA,collected,Dry,N,NA,NA,175
U176,scale,BSC4-42,BSC4,42,BSC4-42,NA,collected,Dry,N,NA,NA,176
U177,scale,BSC4-45,BSC4,45,BSC4-45,NA,collected,Dry,N,NA,NA,177
U178,scale,BSC4-48,BSC4,48,BSC4-48,NA,collected,Dry,N,NA,NA,178
U179,scale,BSC5-2,BSC5,2,BSC5-2,NA,collected,Dry,N,NA,NA,179
