ufn,sample_type,sample_id,container_id,container_cell,sample_location,comments_sample,sample_status,sample_qc_flag,sample_flag_reason,sample_qc_log
U4872,isotope,SIS5322,BISSO25,73,BISSO25-73,NA,collected,N,NA,NA
U4873,isotope,SIS5323,BISSO25,79,BISSO25-79,NA,collected,N,NA,NA
U4874,isotope,SIS5324,BISSO25,86,BISSO25-86,NA,collected,N,NA,NA
U4875,isotope,SIS5325,BISSO25,97,BISSO25-97,NA,collected,N,NA,NA
U4876,isotope,SIS5326,BISSO27,2,BISSO27-2,NA,collected,N,NA,NA
U4877,isotope,SIS5327,BISSO27,6,BISSO27-6,NA,collected,N,NA,NA
U4878,isotope,SIS5328,BISSO27,10,BISSO27-10,NA,collected,N,NA,NA
U4879,isotope,SIS5329,BISSO27,11,BISSO27-11,NA,collected,N,NA,NA
U4880,isotope,SIS5330,BISSO27,42,BISSO27-42,NA,collected,N,NA,NA
U4881,isotope,SIS5331,BISSO27,50,BISSO27-50,NA,collected,N,NA,NA
U4882,isotope,SIS5332,BISSO27,51,BISSO27-51,NA,collected,N,NA,NA
U4883,isotope,SIS5333,BISSO27,15,BISSO27-15,NA,collected,N,NA,NA
U4884,isotope,SIS5334,BISSO27,17,BISSO27-17,NA,collected,N,NA,NA
U4885,isotope,SIS5335,BISSO27,24,BISSO27-24,NA,collected,N,NA,NA
U4886,isotope,SIS5336,BISSO27,31,BISSO27-31,NA,collected,N,NA,NA
U4887,isotope,SIS5337,BISSO27,33,BISSO27-33,NA,collected,N,NA,NA
U4888,isotope,SIS5338,BISSO27,37,BISSO27-37,NA,collected,N,NA,NA
U4889,isotope,SIS5339,BISSO27,39,BISSO27-39,NA,collected,N,NA,NA
U4890,isotope,SIS5340,BISSO27,44,BISSO27-44,NA,collected,N,NA,NA
U4891,isotope,SIS5341,BISSO27,46,BISSO27-46,NA,collected,N,NA,NA
U4892,isotope,SIS5342,BISSO27,53,BISSO27-53,NA,collected,N,NA,NA
U4893,isotope,SIS5343,BISSO27,55,BISSO27-55,NA,collected,N,NA,NA
U4894,isotope,SIS5344,BISSO27,57,BISSO27-57,NA,collected,N,NA,NA
U4901,isotope,SIS5401,BISPI7,15,BISPI7-15,NA,collected,N,NA,NA
U4902,isotope,SIS5402,BISPI7,19,BISPI7-19,NA,collected,N,NA,NA
U4903,isotope,SIS5403,BISPI7,24,BISPI7-24,NA,collected,N,NA,NA
U4904,isotope,SIS5404,BISPI7,30,BISPI7-30,NA,collected,N,NA,NA
U4905,isotope,SIS5405,BISPI7,10,BISPI7-10,NA,collected,N,NA,NA
U4906,isotope,SIS5406,BISPI7,94,BISPI7-94,NA,collected,N,NA,NA
U4908,isotope,SIS5408,BISPI7,48,BISPI7-48,NA,collected,N,NA,NA
U4909,isotope,SIS5409,BISPI7,57,BISPI7-57,NA,collected,N,NA,NA
U4910,isotope,SIS5410,BISPI7,59,BISPI7-59,NA,collected,N,NA,NA
U4911,isotope,SIS5411,BISPI7,64,BISPI7-64,NA,collected,N,NA,NA
U4912,isotope,SIS5412,BISPI7,66,BISPI7-66,NA,collected,N,NA,NA
U4913,isotope,SIS5413,BISPI7,68,BISPI7-68,NA,collected,N,NA,NA
U4914,isotope,SIS5414,BISPI7,70,BISPI7-70,NA,collected,N,NA,NA
U4915,isotope,SIS5415,BISPI7,73,BISPI7-73,NA,collected,N,NA,NA
U4916,isotope,SIS5416,BISPI7,75,BISPI7-75,NA,collected,N,NA,NA
U4918,isotope,SIS5418,BISPI1,61,BISPI1-61,NA,collected,N,NA,NA
U4919,isotope,SIS5419,BISPI1,63,BISPI1-63,NA,collected,N,NA,NA
U4920,isotope,SIS5420,BISPI1,65,BISPI1-65,NA,collected,N,NA,NA
U4921,isotope,SIS5421,BISPI1,67,BISPI1-67,NA,collected,N,NA,NA
U4922,isotope,SIS5422,BISPI1,69,BISPI1-69,NA,collected,N,NA,NA
U4923,isotope,SIS5423,BISPI1,72,BISPI1-72,NA,collected,N,NA,NA
U4924,isotope,SIS5424,BISPI1,76,BISPI1-76,NA,collected,N,NA,NA
U4925,isotope,SIS5425,BISPI1,81,BISPI1-81,NA,collected,N,NA,NA
U4926,isotope,SIS5426,BISPI1,85,BISPI1-85,NA,collected,N,NA,NA
U4927,isotope,SIS5427,BISPI1,87,BISPI1-87,NA,collected,N,NA,NA
U4928,isotope,SIS5428,BISPI1,74,BISPI1-74,NA,collected,N,NA,NA
U4929,isotope,SIS5429,BISPI1,78,BISPI1-78,NA,collected,N,NA,NA
U4930,isotope,SIS5430,BISPI1,100,BISPI1-100,NA,collected,N,NA,NA
U4931,isotope,SIS5431,BISPI4,72,BISPI4-72,NA,collected,N,NA,NA
U4932,isotope,SIS5432,BISPI4,76,BISPI4-76,NA,collected,N,NA,NA
U4933,isotope,SIS5433,BISPI4,80,BISPI4-80,NA,collected,N,NA,NA
